Ano;Rec_Op_Liq (milhares R$);Cres_Rec (%);EBIT (milhares R$);Margem_Ebit (%);IR_CSS (milhares R$);IR/EBIT (%);NOPAT (milhares R$);Imobilizado (milhares R$);CresImob (%);Deprec (milhares R$);Deprec/Imob (%);CAPEX (milhares R$);Cres_CAPEX (%);capgiro (milhares R$);varcapgiro (milhares R$);capgiro/receita (%)
2012;3862508;0.192668431452045;559250;0.14478934412563;-153419;0.274329906124274;405831;846204;0.411561000265229;-132949;0.157112232984009;-382300;1.02910381336703;772992;98294;0.200126964138327
2013;4370946;0.131634161016624;650438;0.148809433930321;-175310;0.269526073199905;475128;1063348;0.256609517326791;-167437;0.157462091431968;-412100;0.0779492545121632;1033863;260871;0.23653071897937
2014;5216820;0.193521951540925;802050;0.153743084867793;-236755;0.29518733246057;565295;1304065;0.226376501389949;-212732;0.163129905334473;-502000;0.218150934239262;1175441;141578;0.225317530602934
2015;6145198;0.17795860313371;933253;0.151867035041019;-249829;0.267696969632029;683424;1544202;0.184144962099282;-264780;0.171467204420147;-571300;0.13804780876494;1282293;106852;0.208665855843864
2016;6451578;0.04985681502858;975690;0.151232768169276;-247322;0.253484200924474;728368;1645069;0.0653198221476206;-311261;0.189208476969659;-477200;-0.164712060213548;1279016;-3277;0.198248552524669
